date,education,skill,entertainment,selfDevelopment,sleep,currentLoggedInUser
9/3/2021,0,173.8,321.62,121.33,331,hhANBj74wiclvfuDLGfuDlFZgJ62
9/4/2021,0,293.14,129.02,117.28,389.13,hhANBj74wiclvfuDLGfuDlFZgJ62
9/5/2021,0,222.97,60,98.19,425,hhANBj74wiclvfuDLGfuDlFZgJ62
9/6/2021,372.69,132.01,76.85,109.75,461.2,hhANBj74wiclvfuDLGfuDlFZgJ62
9/7/2021,220,158.58,139.21,105.42,429.11,hhANBj74wiclvfuDLGfuDlFZgJ62
9/8/2021,226.74,125.25,106.42,208.43,425.5,hhANBj74wiclvfuDLGfuDlFZgJ62
9/9/2021,142,91.34,424.29,121.71,433.37,hhANBj74wiclvfuDLGfuDlFZgJ62
9/10/2021,0,156.61,292.91,272.93,407.23,hhANBj74wiclvfuDLGfuDlFZgJ62
9/11/2021,0,298.29,126.48,102.85,413.793,hhANBj74wiclvfuDLGfuDlFZgJ62
9/12/2021,0,163.83,270.52,126.48,420,hhANBj74wiclvfuDLGfuDlFZgJ62
9/13/2021,40.57,236.02,126.92,201.29,386.36,hhANBj74wiclvfuDLGfuDlFZgJ62
9/14/2021,0,217.22,166.51,197.32,430.48,hhANBj74wiclvfuDLGfuDlFZgJ62
9/15/2021,17.02,82.55,517,123.86,436.38,hhANBj74wiclvfuDLGfuDlFZgJ62
9/16/2021,0,69.37,431,147.27,424,hhANBj74wiclvfuDLGfuDlFZgJ62
9/17/2021,0,85.39,233,408.04,425.27,hhANBj74wiclvfuDLGfuDlFZgJ62
9/18/2021,0,285.41,143.54,272.56,481.35,hhANBj74wiclvfuDLGfuDlFZgJ62
9/19/2021,0,232.85,108.35,328.39,451.46,hhANBj74wiclvfuDLGfuDlFZgJ62
9/20/2021,0,324.24,115,245.74,385.35,hhANBj74wiclvfuDLGfuDlFZgJ62
9/21/2021,0,145.46,445.19,116.41,427.07,hhANBj74wiclvfuDLGfuDlFZgJ62
9/22/2021,0,241.01,136,140.14,481.23,hhANBj74wiclvfuDLGfuDlFZgJ62
9/23/2021,0,93.89,149.49,152.07,445.29,hhANBj74wiclvfuDLGfuDlFZgJ62
9/24/2021,0,50.7,113,103.95,511.4166667,hhANBj74wiclvfuDLGfuDlFZgJ62
9/25/2021,83,87.51666667,24.6,116.3666667,388.3666667,hhANBj74wiclvfuDLGfuDlFZgJ62
9/26/2021,0,169.9,141.1166667,266.3,452.8,hhANBj74wiclvfuDLGfuDlFZgJ62
9/27/2021,0,203.6666667,57.06666667,200.6,419,hhANBj74wiclvfuDLGfuDlFZgJ62
9/28/2021,0,303.0166667,60.03333333,224.3166667,412.7,hhANBj74wiclvfuDLGfuDlFZgJ62
9/29/2021,0,203.2333333,83.91666667,184.3333333,393.25,hhANBj74wiclvfuDLGfuDlFZgJ62
9/30/2021,0,226.5,158.4,285.6333333,406.45,hhANBj74wiclvfuDLGfuDlFZgJ62
10/1/2021,0,183.8333333,154,288.9333333,375,hhANBj74wiclvfuDLGfuDlFZgJ62
10/2/2021,0,117.2333333,297,39.1,365.25,hhANBj74wiclvfuDLGfuDlFZgJ62
10/3/2021,0,0,427,0,490,hhANBj74wiclvfuDLGfuDlFZgJ62
10/4/2021,0,87.05,398.8666667,105.0666667,541.9666667,hhANBj74wiclvfuDLGfuDlFZgJ62
10/5/2021,0,115.3833333,445,79.95,378.1333333,hhANBj74wiclvfuDLGfuDlFZgJ62
10/6/2021,0,223.3666667,52,112.5833333,434.3166667,hhANBj74wiclvfuDLGfuDlFZgJ62
10/7/2021,0,133.9,544,68.16666667,417.35,hhANBj74wiclvfuDLGfuDlFZgJ62
10/8/2021,266.4166667,108.5,394,80.16666667,381.3333333,hhANBj74wiclvfuDLGfuDlFZgJ62
10/9/2021,0,0,689,0,471.6166667,hhANBj74wiclvfuDLGfuDlFZgJ62
10/10/2021,0,242.85,286.2,130.45,428.9,hhANBj74wiclvfuDLGfuDlFZgJ62
10/11/2021,0,47.35,56,123.1333333,362.6666667,hhANBj74wiclvfuDLGfuDlFZgJ62
10/12/2021,0,0,445,111.2166667,490.05,hhANBj74wiclvfuDLGfuDlFZgJ62
10/13/2021,0,78.63333333,339,120.2166667,388.75,hhANBj74wiclvfuDLGfuDlFZgJ62
10/14/2021,270.4833333,307.0166667,23,148.7833333,372.4833333,hhANBj74wiclvfuDLGfuDlFZgJ62
10/15/2021,118.05,214.2166667,102,166.4166667,341.1666667,hhANBj74wiclvfuDLGfuDlFZgJ62
10/16/2021,136.2333333,62.13333333,110,105.0166667,372.9833333,hhANBj74wiclvfuDLGfuDlFZgJ62
10/17/2021,32.51666667,161.5,205.3333333,92.9,464.5833333,hhANBj74wiclvfuDLGfuDlFZgJ62
10/18/2021,279.4666667,126.3,366,61.25,356.9166667,hhANBj74wiclvfuDLGfuDlFZgJ62
10/19/2021,0,156.5666667,634,18,412.9703704,hhANBj74wiclvfuDLGfuDlFZgJ62
10/20/2021,64.26666667,360.05,180,88.78333333,380.15,hhANBj74wiclvfuDLGfuDlFZgJ62
10/21/2021,387.2666667,156.3833333,197.8,86.35,392.4166667,hhANBj74wiclvfuDLGfuDlFZgJ62
10/22/2021,0,147.9166667,394,95.88333333,379.3333333,hhANBj74wiclvfuDLGfuDlFZgJ62
10/23/2021,480.75,171.9333333,101.6,103.0666667,409.0153199,hhANBj74wiclvfuDLGfuDlFZgJ62
10/24/2021,226.3833333,225.4666667,117,83.6,427.7333333,hhANBj74wiclvfuDLGfuDlFZgJ62
10/25/2021,361.3,129.8333333,139,98.48333333,314.3833333,hhANBj74wiclvfuDLGfuDlFZgJ62
10/26/2021,266.1666667,209.0833333,48.96666667,67.93333333,337.4333333,hhANBj74wiclvfuDLGfuDlFZgJ62
10/27/2021,456.6833333,134.3666667,100.6166667,56.81666667,387.75,hhANBj74wiclvfuDLGfuDlFZgJ62
10/28/2021,55.43333333,184.4333333,203.8333333,117.7,400.0333333,hhANBj74wiclvfuDLGfuDlFZgJ62
10/29/2021,65.16666667,62.33333333,110.4833333,43.06666667,556,hhANBj74wiclvfuDLGfuDlFZgJ62
10/30/2021,188.25,163.95,143.9666667,37.63333333,347.0833333,hhANBj74wiclvfuDLGfuDlFZgJ62
10/31/2021,0,21.96666667,556,69.9,426.5,hhANBj74wiclvfuDLGfuDlFZgJ62
11/1/2021,264.1166667,132.25,118.9833333,96.95,472,hhANBj74wiclvfuDLGfuDlFZgJ62
11/2/2021,94.93333333,161.1333333,274,220.85,396.6666667,hhANBj74wiclvfuDLGfuDlFZgJ62
11/3/2021,346.1333333,132.9666667,89.68333333,88.85,378.9,hhANBj74wiclvfuDLGfuDlFZgJ62
11/4/2021,75.85,224.9666667,331.65,116.35,342.4666667,hhANBj74wiclvfuDLGfuDlFZgJ62
11/5/2021,137.9336667,87.85,319.65,122.25,395.2666667,hhANBj74wiclvfuDLGfuDlFZgJ62
11/6/2021,174.8166667,57.56666667,423,0,489.1166667,hhANBj74wiclvfuDLGfuDlFZgJ62
11/7/2021,20.43333333,116.9166667,342.85,94.13333333,412.4027778,hhANBj74wiclvfuDLGfuDlFZgJ62
11/8/2021,281.6166667,112.6166667,172.9333333,87.73333333,353.0833333,hhANBj74wiclvfuDLGfuDlFZgJ62
11/9/2021,95.05,172.0833333,109,147.1333333,406.8166667,hhANBj74wiclvfuDLGfuDlFZgJ62
11/10/2021,323.8333333,92.5,229.1,72.45,442.5833333,hhANBj74wiclvfuDLGfuDlFZgJ62
11/11/2021,0,120.3833333,384.6166667,225.5166667,381.1333333,hhANBj74wiclvfuDLGfuDlFZgJ62
11/12/2021,416.4833333,46.3,214.7,73.05,386.5,hhANBj74wiclvfuDLGfuDlFZgJ62
11/13/2021,0,0,664.7166667,62.1,462.7666667,hhANBj74wiclvfuDLGfuDlFZgJ62
11/14/2021,0,124.8833333,197.5,101.7833333,550.1666667,hhANBj74wiclvfuDLGfuDlFZgJ62
11/15/2021,385.8333333,115.4666667,0,97.88333333,485.4,hhANBj74wiclvfuDLGfuDlFZgJ62
11/16/2021,0,45.24333333,655.3,71,415.6666667,hhANBj74wiclvfuDLGfuDlFZgJ62
11/17/2021,87.35,57.55,530.2833333,74.05,448.1333333,hhANBj74wiclvfuDLGfuDlFZgJ62
11/18/2021,342.3333333,51.05,429,93.18333333,299.4833333,hhANBj74wiclvfuDLGfuDlFZgJ62
11/19/2021,176.3333333,24.58333333,430.95,107.4666667,443.1166667,hhANBj74wiclvfuDLGfuDlFZgJ62
11/20/2021,0,277.6,449.1666667,72.66666667,403.5833333,hhANBj74wiclvfuDLGfuDlFZgJ62
11/21/2021,161.65,129.05,298.8166667,89.16666667,371.3333333,hhANBj74wiclvfuDLGfuDlFZgJ62
11/22/2021,205.3666667,55.48333333,505.0666667,80.25,397.2333333,hhANBj74wiclvfuDLGfuDlFZgJ62
11/23/2021,0,166.75,334.7833333,89.23333333,415.2333333,hhANBj74wiclvfuDLGfuDlFZgJ62
11/24/2021,180.3666667,67.81666667,437,69.36666667,421.5166667,hhANBj74wiclvfuDLGfuDlFZgJ62
11/25/2021,171.7666667,138.2833333,417.4833333,93.56666667,460.7666667,hhANBj74wiclvfuDLGfuDlFZgJ62
11/26/2021,0,34.51666667,613.98,11,472.5666667,hhANBj74wiclvfuDLGfuDlFZgJ62
11/27/2021,83.28333333,157.65,341.4833333,100.95,425.2833333,hhANBj74wiclvfuDLGfuDlFZgJ62
11/28/2021,113.1833333,69.98333333,149.4666667,90.7,454.4833333,hhANBj74wiclvfuDLGfuDlFZgJ62
11/29/2021,187.7333333,118.8666667,97,89.11666667,520.4666667,hhANBj74wiclvfuDLGfuDlFZgJ62
11/30/2021,116.7333333,45.98333333,693.1333333,0,428.4,hhANBj74wiclvfuDLGfuDlFZgJ62
12/1/2021,179.6166667,133.95,195.9333333,91.71666667,437.2333333,hhANBj74wiclvfuDLGfuDlFZgJ62
12/2/2021,41.46666667,170.1666667,515.1,97.03333333,464.7333333,hhANBj74wiclvfuDLGfuDlFZgJ62
12/3/2021,14.91666667,128.2333333,525.7833333,79.03333333,483.8666667,hhANBj74wiclvfuDLGfuDlFZgJ62
12/4/2021,143.05,61.98333333,453,72.05,500.3666667,hhANBj74wiclvfuDLGfuDlFZgJ62
12/5/2021,120.7333333,120.7666667,354.5666667,95.65,400.9666667,hhANBj74wiclvfuDLGfuDlFZgJ62
12/6/2021,183.1166667,97.38333333,390.9666667,83.46666667,507.5333333,hhANBj74wiclvfuDLGfuDlFZgJ62
12/7/2021,123.1333333,129.0833333,442.9,58.95,504.05,hhANBj74wiclvfuDLGfuDlFZgJ62
12/8/2021,60.15,67.8,372.4,95.46666667,459.0833333,hhANBj74wiclvfuDLGfuDlFZgJ62
12/9/2021,261.2733333,71.91666667,320.6666667,84.71666667,493.85,hhANBj74wiclvfuDLGfuDlFZgJ62
12/10/2021,0,32,654,0,425.9,hhANBj74wiclvfuDLGfuDlFZgJ62
12/11/2021,0,0,731.45,0,497.55,hhANBj74wiclvfuDLGfuDlFZgJ62
12/12/2021,0,72.9,559,0,481.9333333,hhANBj74wiclvfuDLGfuDlFZgJ62
12/13/2021,124.1666667,104.4833333,463.7,31.18333333,471.4222222,hhANBj74wiclvfuDLGfuDlFZgJ62
12/14/2021,0,277.9666667,353.55,90.31666667,493.6,hhANBj74wiclvfuDLGfuDlFZgJ62
12/15/2021,156.3333333,183.1666667,284.7333333,60.56666667,370.05,hhANBj74wiclvfuDLGfuDlFZgJ62
12/16/2021,0,0,605.0166667,0,509.7,hhANBj74wiclvfuDLGfuDlFZgJ62
12/17/2021,0,122.5,288.4833333,79.38333333,403.0833333,hhANBj74wiclvfuDLGfuDlFZgJ62
12/18/2021,0,133.6166667,558.9166667,18,581.4,hhANBj74wiclvfuDLGfuDlFZgJ62
12/19/2021,0,15.2,655.45,0,331,hhANBj74wiclvfuDLGfuDlFZgJ62
12/20/2021,0,161.2166667,432.8,78.73333333,350.5833333,hhANBj74wiclvfuDLGfuDlFZgJ62
12/21/2021,0,0,451.9666667,0,594.2333333,hhANBj74wiclvfuDLGfuDlFZgJ62
12/22/2021,0,18.55,471,0,492,hhANBj74wiclvfuDLGfuDlFZgJ62
12/23/2021,0,125.9666667,527.0833333,133.9166667,452.5833333,hhANBj74wiclvfuDLGfuDlFZgJ62
12/24/2021,0,4.533333333,454.2833333,65.66666667,438.2166667,hhANBj74wiclvfuDLGfuDlFZgJ62
12/25/2021,0,0,459.4,63.31666667,533.05,hhANBj74wiclvfuDLGfuDlFZgJ62
12/26/2021,0,0,348.95,46.4,424.4333333,hhANBj74wiclvfuDLGfuDlFZgJ62
12/27/2021,0,0,583.8333333,0,465.4777778,hhANBj74wiclvfuDLGfuDlFZgJ62
12/28/2021,0,0,498.2666667,34.75,510.8833333,hhANBj74wiclvfuDLGfuDlFZgJ62
12/29/2021,0,0,113.0166667,136.5833333,441.6833333,hhANBj74wiclvfuDLGfuDlFZgJ62
12/30/2021,0,72.03333333,206.1666667,210.4166667,479.3166667,hhANBj74wiclvfuDLGfuDlFZgJ62
12/31/2021,0,44.35,514.3333333,26.1,322.8166667,hhANBj74wiclvfuDLGfuDlFZgJ62
1/1/2022,0,30.88333333,323.1666667,101.15,457.5333333,hhANBj74wiclvfuDLGfuDlFZgJ62
1/2/2022,0,164.7833333,271.1666667,77.66666667,544.9333333,hhANBj74wiclvfuDLGfuDlFZgJ62
1/3/2022,0,98.86666667,463.1166667,16,429.8166667,hhANBj74wiclvfuDLGfuDlFZgJ62
1/4/2022,0,30.1,575.2166667,67.98333333,479.0166667,hhANBj74wiclvfuDLGfuDlFZgJ62
1/5/2022,0,94.4,64.31666667,90.8,475.5166667,hhANBj74wiclvfuDLGfuDlFZgJ62
1/6/2022,166.8833333,132.4333333,313.25,69.13333333,418.6833333,hhANBj74wiclvfuDLGfuDlFZgJ62
1/7/2022,0,139.1333333,640.1166667,0,400.7833333,hhANBj74wiclvfuDLGfuDlFZgJ62
1/8/2022,0,169.6333333,266.4666667,0,386.25,hhANBj74wiclvfuDLGfuDlFZgJ62
1/9/2022,0,208.5333333,179.9166667,137.9833333,499.1666667,hhANBj74wiclvfuDLGfuDlFZgJ62
1/10/2022,0,185.9833333,322.7,105.7666667,453.4833333,hhANBj74wiclvfuDLGfuDlFZgJ62
1/11/2022,0,251.1166667,202.5666667,136.55,421.6666667,hhANBj74wiclvfuDLGfuDlFZgJ62
1/12/2022,0,225.7,232.4666667,29.03333333,489.9333333,hhANBj74wiclvfuDLGfuDlFZgJ62
1/13/2022,0,57.93333333,56.4,89.08333333,352.4833333,hhANBj74wiclvfuDLGfuDlFZgJ62
1/14/2022,0,207.5666667,210.9833333,135.0666667,422.4333333,hhANBj74wiclvfuDLGfuDlFZgJ62
1/15/2022,0,89.68333333,300.3666667,154.0333333,598.7166667,hhANBj74wiclvfuDLGfuDlFZgJ62
1/16/2022,0,153.15,206.25,12.25,524.6833333,hhANBj74wiclvfuDLGfuDlFZgJ62
1/17/2022,0,202.45,186.4666667,117.55,561.8166667,hhANBj74wiclvfuDLGfuDlFZgJ62
1/18/2022,0,191.2833333,241.1833333,103.5333333,543.4,hhANBj74wiclvfuDLGfuDlFZgJ62
1/19/2022,0,82.86666667,153.1166667,84.85,404.6333333,hhANBj74wiclvfuDLGfuDlFZgJ62
1/20/2022,0,26.98333333,298.1166667,79.96666667,388.1333333,hhANBj74wiclvfuDLGfuDlFZgJ62
1/21/2022,0,138.85,190.45,85.61666667,499.8333333,hhANBj74wiclvfuDLGfuDlFZgJ62
1/22/2022,0,0,946.2166667,0,287.1,hhANBj74wiclvfuDLGfuDlFZgJ62
1/23/2022,0,0,563.1666667,0,416.95,hhANBj74wiclvfuDLGfuDlFZgJ62
1/24/2022,0,75,598.25,20.8,371.45,hhANBj74wiclvfuDLGfuDlFZgJ62
1/25/2022,0,0,344.1,0,414,hhANBj74wiclvfuDLGfuDlFZgJ62
1/26/2022,0,103.1666667,354,95.36666667,515.5333333,hhANBj74wiclvfuDLGfuDlFZgJ62
1/27/2022,0,0,680.35,0,365.3333333,hhANBj74wiclvfuDLGfuDlFZgJ62
1/28/2022,0,0,350.3,0,366.95,hhANBj74wiclvfuDLGfuDlFZgJ62
1/29/2022,0,245.1833333,272.9,112.9166667,452.3833333,hhANBj74wiclvfuDLGfuDlFZgJ62
1/30/2022,0,38.15,324.6166667,147.05,450,hhANBj74wiclvfuDLGfuDlFZgJ62
1/31/2022,0,0,197,77.41666667,465.35,hhANBj74wiclvfuDLGfuDlFZgJ62
2/1/2022,0,192.7666667,191.5166667,85.96666667,478.1166667,hhANBj74wiclvfuDLGfuDlFZgJ62
2/2/2022,0,133.5666667,503,80.18333333,483.3666667,hhANBj74wiclvfuDLGfuDlFZgJ62
2/3/2022,0,98.3,376.4666667,102.4333333,369.1666667,hhANBj74wiclvfuDLGfuDlFZgJ62
2/4/2022,0,145.0333333,460.7666667,55.1,433.1333333,hhANBj74wiclvfuDLGfuDlFZgJ62
2/5/2022,0,67.18333333,581.5166667,74.9,447.6833333,hhANBj74wiclvfuDLGfuDlFZgJ62
2/6/2022,0,0,763,0,549.3333333,hhANBj74wiclvfuDLGfuDlFZgJ62
2/7/2022,0,0,724,0,383.8166667,hhANBj74wiclvfuDLGfuDlFZgJ62
2/8/2022,0,0,805,0,426.15,hhANBj74wiclvfuDLGfuDlFZgJ62
2/9/2022,0,0,436,0,390.7833333,hhANBj74wiclvfuDLGfuDlFZgJ62
2/10/2022,0,0,556,39.31666667,406.25,hhANBj74wiclvfuDLGfuDlFZgJ62
2/11/2022,0,0,279.1333333,85.2,415,hhANBj74wiclvfuDLGfuDlFZgJ62
2/12/2022,0,11.2,561,7.316666667,432.8333333,hhANBj74wiclvfuDLGfuDlFZgJ62
2/13/2022,0,40.13333333,12,8.033333333,445.5666667,hhANBj74wiclvfuDLGfuDlFZgJ62
2/14/2022,0,60.33333333,176.6,0,527.95,hhANBj74wiclvfuDLGfuDlFZgJ62
2/15/2022,0,79.41666667,109.2,60.01666667,526.3833333,hhANBj74wiclvfuDLGfuDlFZgJ62
2/16/2022,0,95.4,305.1666667,28.28333333,367.35,hhANBj74wiclvfuDLGfuDlFZgJ62
2/17/2022,24,133.5166667,191.55,75.5,504.9333333,hhANBj74wiclvfuDLGfuDlFZgJ62
2/18/2022,0,68,377.3,17.43333333,453.05,hhANBj74wiclvfuDLGfuDlFZgJ62
2/19/2022,0,85.93333333,176.1833333,9.816666667,353.55,hhANBj74wiclvfuDLGfuDlFZgJ62
2/20/2022,0,0,354.1166667,0,610.4,hhANBj74wiclvfuDLGfuDlFZgJ62
2/21/2022,0,129.2666667,340.1166667,73.38333333,329.75,hhANBj74wiclvfuDLGfuDlFZgJ62
2/22/2022,77.03333333,133.2,216.6,18.51666667,460,hhANBj74wiclvfuDLGfuDlFZgJ62
2/23/2022,224.5666667,107.2166667,141,131.4666667,485.7166667,hhANBj74wiclvfuDLGfuDlFZgJ62
2/24/2022,204.8166667,128.45,206.0833333,87.38333333,434.95,hhANBj74wiclvfuDLGfuDlFZgJ62
2/25/2022,0,0,461,0,462.8666667,hhANBj74wiclvfuDLGfuDlFZgJ62
2/26/2022,0,51.93333333,221.9833333,11.86666667,480.7833333,hhANBj74wiclvfuDLGfuDlFZgJ62
2/27/2022,0,68.36666667,489.9333333,60.18333333,489.15,hhANBj74wiclvfuDLGfuDlFZgJ62
2/28/2022,349.9666667,90.1,88.51666667,61.41666667,542,hhANBj74wiclvfuDLGfuDlFZgJ62
3/1/2022,0,0,539.7166667,8.683333333,424.6833333,hhANBj74wiclvfuDLGfuDlFZgJ62
3/2/2022,125.0833333,9.35,49.98333333,20.91666667,477.2333333,hhANBj74wiclvfuDLGfuDlFZgJ62
3/3/2022,180.7833333,68.31666667,166,26.9,448,hhANBj74wiclvfuDLGfuDlFZgJ62
3/4/2022,0,128.2833333,216.1166667,84.68333333,457.8833333,hhANBj74wiclvfuDLGfuDlFZgJ62
3/5/2022,0,63.93333333,441,0,510.2166667,hhANBj74wiclvfuDLGfuDlFZgJ62
3/6/2022,0,49.91666667,350.2666667,60.73333333,497.8333333,hhANBj74wiclvfuDLGfuDlFZgJ62
3/7/2022,304.8833333,0,265,0,432,hhANBj74wiclvfuDLGfuDlFZgJ62
3/8/2022,149,56.41666667,137.5166667,61.01666667,344.3166667,hhANBj74wiclvfuDLGfuDlFZgJ62
3/9/2022,198.8833333,96.28333333,162.0833333,36.93333333,495.5333333,hhANBj74wiclvfuDLGfuDlFZgJ62
3/10/2022,143.4833333,10.46666667,326,49.33333333,329.05,hhANBj74wiclvfuDLGfuDlFZgJ62
3/11/2022,0,0,758,0,430.1166667,hhANBj74wiclvfuDLGfuDlFZgJ62
