date,mainCategoryName,subcategoryName,timeSpent,currentLoggedInUser
7/12/2021,Self Development,Reading,35,hhANBj74wiclvfuDLGfuDlFZgJ62
7/12/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/12/2021,Sleep,Sleep,424.3623533,hhANBj74wiclvfuDLGfuDlFZgJ62
7/12/2021,Education,Studied/Revised,345,hhANBj74wiclvfuDLGfuDlFZgJ62
7/13/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/13/2021,Skills,Programming,60,hhANBj74wiclvfuDLGfuDlFZgJ62
7/13/2021,Self Development,Reading,25,hhANBj74wiclvfuDLGfuDlFZgJ62
7/13/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/13/2021,Sleep,Sleep,425.22402,hhANBj74wiclvfuDLGfuDlFZgJ62
7/13/2021,Education,Studied/Revised,300,hhANBj74wiclvfuDLGfuDlFZgJ62
7/14/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/14/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/14/2021,Self Development,Reading,60,hhANBj74wiclvfuDLGfuDlFZgJ62
7/14/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/14/2021,Sleep,Sleep,426.2859459,hhANBj74wiclvfuDLGfuDlFZgJ62
7/14/2021,Education,Studied/Revised,483,hhANBj74wiclvfuDLGfuDlFZgJ62
7/15/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/15/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/15/2021,Self Development,Reading,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/15/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/15/2021,Sleep,Sleep,426.7408595,hhANBj74wiclvfuDLGfuDlFZgJ62
7/15/2021,Education,Studied/Revised,543,hhANBj74wiclvfuDLGfuDlFZgJ62
7/16/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/16/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/16/2021,Self Development,Reading,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/16/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/16/2021,Sleep,Sleep,427.3766373,hhANBj74wiclvfuDLGfuDlFZgJ62
7/16/2021,Education,Studied/Revised,554,hhANBj74wiclvfuDLGfuDlFZgJ62
7/17/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/17/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/17/2021,Self Development,Reading,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/17/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/17/2021,Sleep,Sleep,426.7771929,hhANBj74wiclvfuDLGfuDlFZgJ62
7/17/2021,Education,Studied/Revised,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/18/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/18/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/18/2021,Self Development,Reading,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/18/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/18/2021,Sleep,Sleep,427.715304,hhANBj74wiclvfuDLGfuDlFZgJ62
7/18/2021,Education,Studied/Revised,335,hhANBj74wiclvfuDLGfuDlFZgJ62
7/19/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/19/2021,Skills,Programming,60,hhANBj74wiclvfuDLGfuDlFZgJ62
7/19/2021,Self Development,Reading,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/19/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/19/2021,Sleep,Sleep,426.8456743,hhANBj74wiclvfuDLGfuDlFZgJ62
7/19/2021,Education,Studied/Revised,416,hhANBj74wiclvfuDLGfuDlFZgJ62
7/20/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/20/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/20/2021,Self Development,Reading,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/20/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/20/2021,Sleep,Sleep,428.2894521,hhANBj74wiclvfuDLGfuDlFZgJ62
7/20/2021,Education,Studied/Revised,424,hhANBj74wiclvfuDLGfuDlFZgJ62
7/21/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/21/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/21/2021,Self Development,Reading,30,hhANBj74wiclvfuDLGfuDlFZgJ62
7/21/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/21/2021,Sleep,Sleep,427.6855632,hhANBj74wiclvfuDLGfuDlFZgJ62
7/21/2021,Education,Studied/Revised,468,hhANBj74wiclvfuDLGfuDlFZgJ62
7/22/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/22/2021,Skills,Programming,39,hhANBj74wiclvfuDLGfuDlFZgJ62
7/22/2021,Self Development,Reading,60,hhANBj74wiclvfuDLGfuDlFZgJ62
7/22/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/22/2021,Sleep,Sleep,426.8357114,hhANBj74wiclvfuDLGfuDlFZgJ62
7/22/2021,Education,Studied/Revised,305,hhANBj74wiclvfuDLGfuDlFZgJ62
7/23/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/23/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/23/2021,Self Development,Reading,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/23/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/23/2021,Sleep,Sleep,428.091304,hhANBj74wiclvfuDLGfuDlFZgJ62
7/23/2021,Education,Studied/Revised,398,hhANBj74wiclvfuDLGfuDlFZgJ62
7/24/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/24/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/24/2021,Self Development,Reading,10,hhANBj74wiclvfuDLGfuDlFZgJ62
7/24/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/24/2021,Sleep,Sleep,428.610304,hhANBj74wiclvfuDLGfuDlFZgJ62
7/24/2021,Education,Studied/Revised,220,hhANBj74wiclvfuDLGfuDlFZgJ62
7/25/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/25/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/25/2021,Self Development,Reading,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/25/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/25/2021,Sleep,Sleep,427.9566003,hhANBj74wiclvfuDLGfuDlFZgJ62
7/25/2021,Education,Studied/Revised,208,hhANBj74wiclvfuDLGfuDlFZgJ62
7/26/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/26/2021,Skills,Programming,42,hhANBj74wiclvfuDLGfuDlFZgJ62
7/26/2021,Self Development,Reading,76,hhANBj74wiclvfuDLGfuDlFZgJ62
7/26/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/26/2021,Sleep,Sleep,428.5104892,hhANBj74wiclvfuDLGfuDlFZgJ62
7/26/2021,Education,Studied/Revised,472,hhANBj74wiclvfuDLGfuDlFZgJ62
7/27/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/27/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/27/2021,Self Development,Reading,27,hhANBj74wiclvfuDLGfuDlFZgJ62
7/27/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/27/2021,Sleep,Sleep,429.4021558,hhANBj74wiclvfuDLGfuDlFZgJ62
7/27/2021,Education,Studied/Revised,424,hhANBj74wiclvfuDLGfuDlFZgJ62
7/28/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/28/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/28/2021,Self Development,Reading,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/28/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/28/2021,Sleep,Sleep,429.4625262,hhANBj74wiclvfuDLGfuDlFZgJ62
7/28/2021,Education,Studied/Revised,342,hhANBj74wiclvfuDLGfuDlFZgJ62
7/29/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/29/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/29/2021,Self Development,Reading,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/29/2021,Entertainment,SM/Anime/MM,48.52,hhANBj74wiclvfuDLGfuDlFZgJ62
7/29/2021,Sleep,Sleep,430.0489459,hhANBj74wiclvfuDLGfuDlFZgJ62
7/29/2021,Education,Studied/Revised,387,hhANBj74wiclvfuDLGfuDlFZgJ62
7/30/2021,Skills,English Comms,100.19,hhANBj74wiclvfuDLGfuDlFZgJ62
7/30/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/30/2021,Self Development,Reading,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/30/2021,Entertainment,SM/Anime/MM,119.23,hhANBj74wiclvfuDLGfuDlFZgJ62
7/30/2021,Sleep,Sleep,431.355983,hhANBj74wiclvfuDLGfuDlFZgJ62
7/30/2021,Education,Studied/Revised,41,hhANBj74wiclvfuDLGfuDlFZgJ62
7/31/2021,Skills,English Comms,80,hhANBj74wiclvfuDLGfuDlFZgJ62
7/31/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/31/2021,Self Development,Reading,40,hhANBj74wiclvfuDLGfuDlFZgJ62
7/31/2021,Entertainment,SM/Anime/MM,23.57,hhANBj74wiclvfuDLGfuDlFZgJ62
7/31/2021,Sleep,Sleep,431.7474645,hhANBj74wiclvfuDLGfuDlFZgJ62
7/31/2021,Education,Studied/Revised,438,hhANBj74wiclvfuDLGfuDlFZgJ62
8/1/2021,Skills,English Comms,97,hhANBj74wiclvfuDLGfuDlFZgJ62
8/1/2021,Self Development,Exercise,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/1/2021,Skills,Programming,30,hhANBj74wiclvfuDLGfuDlFZgJ62
8/1/2021,Self Development,Reading,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/1/2021,Entertainment,SM/Anime/MM,56.21,hhANBj74wiclvfuDLGfuDlFZgJ62
8/1/2021,Sleep,Sleep,432.9065385,hhANBj74wiclvfuDLGfuDlFZgJ62
8/1/2021,Education,Studied/Revised,504,hhANBj74wiclvfuDLGfuDlFZgJ62
8/1/2021,Entertainment,Video Games,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/2/2021,Skills,English Comms,60,hhANBj74wiclvfuDLGfuDlFZgJ62
8/2/2021,Self Development,Exercise,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/2/2021,Skills,Programming,70,hhANBj74wiclvfuDLGfuDlFZgJ62
8/2/2021,Self Development,Reading,43.56,hhANBj74wiclvfuDLGfuDlFZgJ62
8/2/2021,Entertainment,SM/Anime/MM,118.66,hhANBj74wiclvfuDLGfuDlFZgJ62
8/2/2021,Sleep,Sleep,432.4350571,hhANBj74wiclvfuDLGfuDlFZgJ62
8/2/2021,Education,Studied/Revised,135,hhANBj74wiclvfuDLGfuDlFZgJ62
8/2/2021,Entertainment,Video Games,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/3/2021,Skills,English Comms,92.27,hhANBj74wiclvfuDLGfuDlFZgJ62
8/3/2021,Self Development,Exercise,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/3/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/3/2021,Self Development,Reading,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/3/2021,Entertainment,SM/Anime/MM,120.07,hhANBj74wiclvfuDLGfuDlFZgJ62
8/3/2021,Sleep,Sleep,431.7882599,hhANBj74wiclvfuDLGfuDlFZgJ62
8/3/2021,Education,Studied/Revised,471.01,hhANBj74wiclvfuDLGfuDlFZgJ62
8/3/2021,Entertainment,Video Games,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/4/2021,Skills,English Comms,70,hhANBj74wiclvfuDLGfuDlFZgJ62
8/4/2021,Self Development,Exercise,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/4/2021,Skills,Programming,173.61,hhANBj74wiclvfuDLGfuDlFZgJ62
8/4/2021,Self Development,Reading,20,hhANBj74wiclvfuDLGfuDlFZgJ62
8/4/2021,Entertainment,SM/Anime/MM,99.26,hhANBj74wiclvfuDLGfuDlFZgJ62
8/4/2021,Sleep,Sleep,430.5362326,hhANBj74wiclvfuDLGfuDlFZgJ62
8/4/2021,Education,Studied/Revised,318,hhANBj74wiclvfuDLGfuDlFZgJ62
8/4/2021,Entertainment,Video Games,0,hhANBj74wiclvfuDLGfuDlFZgJ62
8/5/2021,Skills,English Comms,79.4,hhANBj74wiclvfuDLGfuDlFZgJ62
8/5/2021,Self Development,Exercise,0,hhANBj74wiclvfuDLGfuDlFZgJ62
