date,education,skill,entertainment,selfDevelopment,sleep,currentLoggedInUser
29/08/2021,0.00,61.24,84.77,75.00,441.73,hhANBj74wiclvfuDLGfuDlFZgJ62
30/08/2021,222.00,61.10,39.51,160.04,443.25,hhANBj74wiclvfuDLGfuDlFZgJ62
31/08/2021,0.00,144.79,152.51,168.53,443.53,hhANBj74wiclvfuDLGfuDlFZgJ62
01/09/2021,326.10,42.84,40.37,134.08,429.00,hhANBj74wiclvfuDLGfuDlFZgJ62
02/09/2021,303.00,181.78,96.52,77.70,407.39,hhANBj74wiclvfuDLGfuDlFZgJ62
03/09/2021,0.00,173.80,321.62,121.33,331.00,hhANBj74wiclvfuDLGfuDlFZgJ62
04/09/2021,0.00,293.14,129.02,117.28,389.13,hhANBj74wiclvfuDLGfuDlFZgJ62
05/09/2021,0.00,222.97,60.00,98.19,425.00,hhANBj74wiclvfuDLGfuDlFZgJ62
06/09/2021,372.69,132.01,76.85,109.75,461.20,hhANBj74wiclvfuDLGfuDlFZgJ62
07/09/2021,220.00,158.58,139.21,105.42,429.11,hhANBj74wiclvfuDLGfuDlFZgJ62
08/09/2021,226.74,125.25,106.42,208.43,425.50,hhANBj74wiclvfuDLGfuDlFZgJ62
09/09/2021,142.00,91.34,424.29,121.71,433.37,hhANBj74wiclvfuDLGfuDlFZgJ62
10/09/2021,0.00,156.61,292.91,272.93,407.23,hhANBj74wiclvfuDLGfuDlFZgJ62
11/09/2021,0.00,298.29,126.48,102.85,413.79,hhANBj74wiclvfuDLGfuDlFZgJ62
12/09/2021,0.00,163.83,270.52,126.48,420.00,hhANBj74wiclvfuDLGfuDlFZgJ62
13/09/2021,40.57,236.02,126.92,201.29,386.36,hhANBj74wiclvfuDLGfuDlFZgJ62
14/09/2021,0.00,217.22,166.51,197.32,430.48,hhANBj74wiclvfuDLGfuDlFZgJ62
15/09/2021,17.02,82.55,517.00,123.86,436.38,hhANBj74wiclvfuDLGfuDlFZgJ62
16/09/2021,0.00,69.37,431.00,147.27,424.00,hhANBj74wiclvfuDLGfuDlFZgJ62
17/09/2021,0.00,85.39,233.00,408.04,425.27,hhANBj74wiclvfuDLGfuDlFZgJ62
18/09/2021,0.00,285.41,143.54,272.56,481.35,hhANBj74wiclvfuDLGfuDlFZgJ62
19/09/2021,0.00,232.85,108.35,328.39,451.46,hhANBj74wiclvfuDLGfuDlFZgJ62
20/09/2021,0.00,324.24,115.00,245.74,385.35,hhANBj74wiclvfuDLGfuDlFZgJ62
21/09/2021,0.00,145.46,445.19,116.41,427.07,hhANBj74wiclvfuDLGfuDlFZgJ62
22/09/2021,0.00,241.01,136.00,140.14,481.23,hhANBj74wiclvfuDLGfuDlFZgJ62
23/09/2021,0.00,93.89,149.49,152.07,445.29,hhANBj74wiclvfuDLGfuDlFZgJ62
24/09/2021,0.00,50.70,113.00,103.95,511.42,hhANBj74wiclvfuDLGfuDlFZgJ62
25/09/2021,83.00,87.52,24.60,116.37,388.37,hhANBj74wiclvfuDLGfuDlFZgJ62
26/09/2021,0.00,169.90,141.12,266.30,452.80,hhANBj74wiclvfuDLGfuDlFZgJ62
27/09/2021,0.00,203.67,57.07,200.60,419.00,hhANBj74wiclvfuDLGfuDlFZgJ62
28/09/2021,0.00,303.02,60.03,224.32,412.70,hhANBj74wiclvfuDLGfuDlFZgJ62
29/09/2021,0.00,203.23,83.92,184.33,393.25,hhANBj74wiclvfuDLGfuDlFZgJ62
30/09/2021,0.00,226.50,158.40,285.63,406.45,hhANBj74wiclvfuDLGfuDlFZgJ62
