date,mainCategoryName,subcategoryName,timeRecorded,timeSpent,currentLoggedInUser
2021-07-11,Skills,English Comms,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-11,Skills,Programming,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-11,Self Development,Reading,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-11,Entertainment,SM/Anime/MM,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-11,Sleep,Sleep,N/A,424.2278311260756,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-11,Education,Studied/Revised,N/A,96.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-12,Skills,English Comms,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-12,Skills,Programming,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-12,Self Development,Reading,N/A,35.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-12,Entertainment,SM/Anime/MM,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-12,Sleep,Sleep,N/A,424.36235334829786,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-12,Education,Studied/Revised,N/A,345.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-13,Skills,English Comms,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-13,Skills,Programming,N/A,60.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-13,Self Development,Reading,N/A,25.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-13,Entertainment,SM/Anime/MM,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-13,Sleep,Sleep,N/A,425.22402001496454,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-13,Education,Studied/Revised,N/A,300.0,hhANBj74wiclvfuDLGfuDlFZgJ62
